               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.02602,           0.0055224,            0.004827,              0.9436,             0.90777,             0.96205,             0.65887,            0.024403,           0.0042671,           0.0043093,           0.0098405,           0.0098405,           0.0098405
                  36,            0.026347,            0.005633,           0.0058211,             0.97339,             0.93549,              0.9813,             0.70579,            0.022215,            0.003884,           0.0029369,            0.009831,            0.009831,            0.009831
                  37,            0.026594,           0.0055184,           0.0055704,             0.97204,             0.95882,             0.98362,             0.71467,            0.022361,           0.0038269,           0.0023952,           0.0098213,           0.0098213,           0.0098213
                  38,            0.026673,           0.0055007,             0.00571,             0.93335,             0.94169,             0.97038,             0.69459,            0.023438,           0.0043321,            0.004172,           0.0098113,           0.0098113,           0.0098113
                  39,            0.025817,           0.0056074,           0.0054623,             0.95227,             0.92824,             0.97142,             0.65989,            0.024522,           0.0041098,           0.0034022,           0.0098011,           0.0098011,           0.0098011
                  40,            0.025286,           0.0054506,            0.004855,             0.95545,             0.97072,             0.98503,             0.71153,            0.021234,           0.0037678,           0.0019846,           0.0097905,           0.0097905,           0.0097905
                  41,            0.025314,           0.0055569,           0.0052484,             0.96502,             0.93324,             0.97712,             0.71462,            0.021018,           0.0037335,           0.0030787,           0.0097798,           0.0097798,           0.0097798
                  42,            0.025593,           0.0054884,           0.0053488,             0.96861,             0.93059,             0.97675,             0.70286,            0.021089,           0.0038255,           0.0027407,           0.0097687,           0.0097687,           0.0097687
                  43,            0.025246,           0.0054998,           0.0054484,             0.95095,             0.94827,             0.97958,             0.70807,            0.021456,           0.0038632,           0.0024166,           0.0097574,           0.0097574,           0.0097574
                  44,            0.025979,           0.0053443,           0.0055692,              0.9663,             0.94014,             0.97751,             0.70159,            0.020807,           0.0036864,           0.0035803,           0.0097458,           0.0097458,           0.0097458
                  45,            0.025827,           0.0056908,           0.0055128,             0.94751,             0.95572,             0.98044,             0.72749,            0.021004,           0.0041175,           0.0025255,            0.009734,            0.009734,            0.009734
                  46,             0.02547,            0.005358,           0.0048491,             0.97282,             0.95326,             0.98527,             0.72522,             0.02112,           0.0036923,           0.0022234,           0.0097219,           0.0097219,           0.0097219
                  47,            0.025787,           0.0054532,           0.0051758,              0.9562,             0.95828,             0.98201,             0.68808,            0.023098,           0.0037085,           0.0024316,           0.0097095,           0.0097095,           0.0097095
                  48,             0.02536,           0.0053682,           0.0056251,             0.96884,             0.93664,             0.97918,             0.70919,            0.021426,           0.0039147,           0.0024612,           0.0096969,           0.0096969,           0.0096969
                  49,            0.024919,           0.0054494,           0.0047907,             0.97895,             0.94438,             0.98317,             0.71895,            0.021057,             0.00365,           0.0026066,            0.009684,            0.009684,            0.009684
                  50,             0.02544,           0.0054232,           0.0051507,              0.9507,              0.9335,              0.9758,             0.70581,             0.02214,           0.0040018,           0.0027211,           0.0096709,           0.0096709,           0.0096709
                  51,            0.025117,           0.0055065,            0.005174,             0.98105,              0.9428,             0.98674,             0.71674,            0.021367,           0.0037062,           0.0024374,           0.0096575,           0.0096575,           0.0096575
                  52,            0.024768,            0.005314,           0.0050384,             0.98548,             0.94023,             0.98453,             0.73526,            0.019835,           0.0035909,           0.0021992,           0.0096438,           0.0096438,           0.0096438
